,Lyrics,URL
0,The Scientist,/lyric/36653711/Coldplay/The+Scientist
1,Hymn for the Weekend,/lyric/33468912/Coldplay/Hymn+for+the+Weekend
2,Viva La Vida,/lyric/36124869/Coldplay/Viva+La+Vida
3,Christmas Lights,/lyric/36628142/Coldplay/Christmas+Lights
4,Kaleidoscope,/lyric/34021673/Coldplay/Kaleidoscope
5,Everyday Life,/lyric/36691823/Coldplay/Everyday+Life
6,A Message,/lyric/33017712/Coldplay/A+Message
7,Adventure of a Lifetime,/lyric/32349049/Coldplay/Adventure+of+a+Lifetime
8,In My Place,/lyric/7390630/Coldplay/In+My+Place
9,Fix You,/lyric/36050583/Coldplay/Fix+You
10,Orphans,/lyric/36676017/Coldplay/Orphans
11,Arabesque,/lyric/36691694/Coldplay/Arabesque
12,Something Just Like This,/lyric/35121890/Coldplay/Something+Just+Like+This
13,Clocks,/lyric/22901805/Coldplay/Clocks
14,A Sky Full of Stars,/lyric/37042035/Coldplay/A+Sky+Full+of+Stars
15,Trouble,/lyric/35358494/Coldplay/Trouble
16,Yellow,/lyric/36759410/Coldplay/Yellow
17,Every Teardrop Is a Waterfall,/lyric/25688426/Coldplay/Every+Teardrop+Is+a+Waterfall
18,God Put a Smile Upon Your Face,/lyric/35220947/Coldplay/God+Put+a+Smile+Upon+Your+Face
19,Paradise,/lyric/34797400/Coldplay/Paradise
20,Always In My Head,/lyric/35766659/Coldplay/Always+In+My+Head
21,Magic,/lyric/35581249/Coldplay/Magic
22,Everglow,/lyric/34021678/Coldplay/Everglow
23,Midnight,/lyric/31493856/Coldplay/Midnight
24,Charlie Brown,/lyric/31821175/Coldplay/Charlie+Brown
25,Colour Spectrum,/lyric/34021676/Coldplay/Colour+Spectrum
26,Up&Up,/lyric/35581234/Coldplay/Up%26Up
27,Always in My Head,/lyric/30744163/Coldplay/Always+in+My+Head
28,A Head Full of Dreams,/lyric/32349053/Coldplay/A+Head+Full+of+Dreams
29,Birds,/lyric/34021680/Coldplay/Birds
30,Us Against the World,/lyric/24701284/Coldplay/Us+Against+the+World
31,We All Fall in Love Sometimes,/lyric/35442160/Coldplay/We+All+Fall+in+Love+Sometimes
32,A L I E N S,/lyric/37063580/Coldplay/A+L+I+E+N+S
33,Up & Up,/lyric/34021675/Coldplay/Up+%26+Up
34,All I Can Think About Is You,/lyric/34189031/Coldplay/All+I+Can+Think+About+Is+You
35,Bohemian Like You,/lyric/33899353/Coldplay/Bohemian+Like+You
36,Hypnotised,/lyric/33800863/Coldplay/Hypnotised
37,Miracles (Someone Special),/lyric/34189030/Coldplay/Miracles+%28Someone+Special%29
38,Something Just Like This [Tokyo Remix],/lyric/34189028/Coldplay/Something+Just+Like+This+%5BTokyo+Remix%5D
39,Hypnotised [EP Mix],/lyric/34189027/Coldplay/Hypnotised+%5BEP+Mix%5D
40,Shiver,/lyric/13960012/Coldplay/Shiver
41,Viva la Vida,/lyric/32493396/Coldplay/Viva+la+Vida
42,God Put A Smile Upon Your Face,/lyric/36388402/Coldplay/God+Put+A+Smile+Upon+Your+Face
43,True Love,/lyric/31686965/Coldplay/True+Love
44,Fun,/lyric/32349056/Coldplay/Fun
45,Army of One,/lyric/32349054/Coldplay/Army+of+One
46,Amazing Day,/lyric/34021682/Coldplay/Amazing+Day
47,A Sky Full Of Stars (Hardwell Remix),/lyric/31713863/Coldplay/A+Sky+Full+Of+Stars+%28Hardwell+Remix%29
48,Miracles [*],/lyric/34021677/Coldplay/Miracles+%5B%2A%5D
49,Hymn for the Weekend [SeeB Remix],/lyric/33153660/Coldplay/Hymn+for+the+Weekend+%5BSeeB+Remix%5D
50,Sky Full Of Stars,/lyric/31665943/Coldplay/Sky+Full+Of+Stars
51,A Sky Full of Stars [Radio Edit] [Edit],/lyric/31020867/Coldplay/A+Sky+Full+of+Stars+%5BRadio+Edit%5D+%5BEdit%5D
52,All Your Friends,/lyric/31493851/Coldplay/All+Your+Friends
53,Ghost Story,/lyric/31493850/Coldplay/Ghost+Story
54,Oceans,/lyric/30744157/Coldplay/Oceans
55,Bad,/lyric/31094943/Coldplay/Bad
56,Ink,/lyric/30744161/Coldplay/Ink
57,Another's Arms,/lyric/30744158/Coldplay/Another%27s+Arms
58,O,/lyric/30744155/Coldplay/O
59,True Love [*],/lyric/31493853/Coldplay/True+Love+%5B%2A%5D
60,"Always in My Head [Live at the Royal Albert Hall, London]",/lyric/31493846/Coldplay/Always+in+My+Head+%5BLive+at+the+Royal+Albert+Hall%2C+London%5D
61,"Another's Arms [Live at the Beacon Theatre, New York]",/lyric/31493841/Coldplay/Another%27s+Arms+%5BLive+at+the+Beacon+Theatre%2C+New+York%5D
62,There's No Other Way,/lyric/30885247/Coldplay/There%27s+No+Other+Way
63,Into Your Arms,/lyric/30885251/Coldplay/Into+Your+Arms
64,Sexy Boy,/lyric/30885296/Coldplay/Sexy+Boy
65,Days Go By (Acoustic),/lyric/30885284/Coldplay/Days+Go+By+%28Acoustic%29
66,Sky Full of Stars,/lyric/31022772/Coldplay/Sky+Full+of+Stars
67,A Sky Full Of Stars,/lyric/31571573/Coldplay/A+Sky+Full+Of+Stars
68,Every Teardrop Is a Waterfall [Coldplay vs. Swedish House Mafia],/lyric/35259182/Coldplay/Every+Teardrop+Is+a+Waterfall+%5BColdplay+vs.+Swedish+House+Mafia%5D
69,Rather Be [Robin Schulz Edit] [Edit],/lyric/31808865/Coldplay/Rather+Be+%5BRobin+Schulz+Edit%5D+%5BEdit%5D
70,A Sky Full of Stars [Robin Schulz Edit] [Edit],/lyric/31808857/Coldplay/A+Sky+Full+of+Stars+%5BRobin+Schulz+Edit%5D+%5BEdit%5D
71,A Sky Full of Stars [Robin Schulz Edit],/lyric/32569259/Coldplay/A+Sky+Full+of+Stars+%5BRobin+Schulz+Edit%5D
72,Coming Home,/lyric/34326103/Coldplay/Coming+Home
73,Miracles,/lyric/34326082/Coldplay/Miracles
74,Wish I Was Here,/lyric/31028605/Coldplay/Wish+I+Was+Here
75,Charlie Brown [Edit],/lyric/28669853/Coldplay/Charlie+Brown+%5BEdit%5D
76,Atlas,/lyric/36488930/Coldplay/Atlas
77,Princess of China,/lyric/36185005/Coldplay/Princess+of+China
78,How You See the World No. 2,/lyric/8423619/Coldplay/How+You+See+the+World+No.+2
79,Don't Panic,/lyric/37664542/Coldplay/Don%27t+Panic
80,Spies,/lyric/5129053/Coldplay/Spies
81,Sparks,/lyric/34623144/Coldplay/Sparks
82,Parachutes,/lyric/5129057/Coldplay/Parachutes
